Title,Year,Rating
"It's a Wonderful Life",1946,8.6
Elf,2003,7.1
"A Christmas Story",1983,7.9
"Home Alone",1990,7.7
"Miracle on 34th Street",1947,7.9
"Die Hard",1988,8.2
"National Lampoon's Christmas Vacation",1989,7.5
"The Nightmare Before Christmas",1993,7.9
"The Muppet Christmas Carol",1992,7.8
"White Christmas",1954,7.6
"A Charlie Brown Christmas",1965,8.3
"The Santa Clause",1994,6.6
"The Polar Express",2004,6.6
Gremlins,1984,7.3
"Love Actually",2003,7.5
Scrooged,1988,6.9
"How the Grinch Stole Christmas",2000,6.4
"Bad Santa",2003,7.0
"A Christmas Carol",1951,8.1
"Rudolph the Red-Nosed Reindeer",1964,8.0
"The Holiday",2006,7.0
"The Shop Around the Corner",1940,8.0
"How the Grinch Stole Christmas!",1966,8.3
Klaus,2019,8.2
"Trading Places",1983,7.5
"Meet Me in St. Louis",1944,7.5
"The Apartment",1960,8.3
Carol,2015,7.3
"Home Alone 2: Lost in New York",1992,6.9
"Edward Scissorhands",1990,7.8
"Little Women",2019,7.8
"Batman Returns",1992,7.1
"Arthur Christmas",2011,7.1
"Christmas in Connecticut",1945,7.3
"Jingle All the Way",1996,5.8
"Black Christmas",1974,7.1
"A Christmas Tale",2008,6.9
"Holiday Inn",1942,7.3
"Miracle on 34th Street",1994,6.6
Tangerine,2015,7.1
"Little Women",1994,7.3
"Happiest Season",2020,6.6
"The Best Man Holiday",2013,6.6
"While You Were Sleeping",1995,6.8
"The Year Without a Santa Claus",1974,7.7
"Kiss Kiss Bang Bang",2005,7.4
"The Bishop's Wife",1947,7.6
"Tokyo Godfathers",2003,7.8
Krampus,2015,6.2
"The Grinch",2018,6.4
"The Family Stone",2005,6.3
"Four Christmases",2008,5.7
"The Preacher's Wife",1996,5.7
"The Night Before",2015,6.4
"Christmas with the Kranks",2004,5.5
"The Christmas Chronicles",2018,7.0
"Joyeux Noel",2005,7.6
"The Holdovers",2023,7.9
"Eyes Wide Shut",1999,7.5
"Rare Exports",2010,6.6
"Jack Frost",1998,5.5
"Happy Christmas",2014,5.4
"Christmas, Again",2014,6.7
"The Man Who Invented Christmas",2017,7.0
"Frosty the Snowman",1969,7.3
"The Snowman",1982,8.2
"The Santa Clause 2",2002,5.8
"Santa Claus Is Comin' to Town",1970,7.7
"Almost Christmas",2016,6.2
"Remember the Night",1939,7.6
"Anna and the Apocalypse",2017,6.1
"Lethal Weapon",1987,7.6
Metropolitan,1990,7.3
